Strategy Report
===============

Source sheet: xau-long-bot.xlsx
Total positions: 120

Single Test Performance
-----------------------
Condition  Total Trades  Max Drawdown %  Profit Factor  Win Rate %  Net Profit %  Sharpe Ratio  Sortino Ratio  Tags      
---------  ------------  --------------  -------------  ----------  ------------  ------------  -------------  ----------
1                    18         -14.98%            nan    100.000%       34.470%         0.063          0.252  NORMAL    
2                    11         -14.60%            nan    100.000%       20.920%        -0.147         -0.390  OVERFIT   
3                    17          -5.37%            nan    100.000%       32.400%        -0.029         -0.091  NORMAL    
4                    91         -26.76%          10.75     85.710%      333.820%         0.447          4.771  GOOD      
5                    90         -24.90%          32.08     94.440%      445.120%         0.331          5.120  GOOD      
6                    74         -48.94%          12.94     95.950%      313.620%         0.261          3.916  RISK, GOOD
---------  ------------  --------------  -------------  ----------  ------------  ------------  -------------  ----------
TOTAL               301         -48.94%          18.59     96.017%     1180.350%         0.154          2.263            

Conditions
----------
Condition  Triggers  Entry triggers  DCA triggers  Entry trigger MDD %  DCA trigger MDD %  Max drawdown %  Win rate (%)
---------  --------  --------------  ------------  -------------------  -----------------  --------------  ------------
1                13              11             2             -10.105%           -10.105%        -10.105%       92.308%
2                 7               7             0             -17.293%            -0.907%        -17.293%       85.714%
3                 9               9             0              -6.307%            -5.639%         -6.307%      100.000%
4                61              49            12             -34.031%           -23.544%        -34.031%       85.246%
5                79              38            41             -30.415%           -25.794%        -30.415%       93.671%
6                46              15            31             -13.511%           -34.031%        -34.031%       93.478%
dca1              1               0             1             -22.452%           -22.452%        -22.452%      100.000%
                200             120            80             -34.031%           -34.031%        -34.031%       91.000%

Positions
---------
Date/Time            Orders      DD %  Step                Size %             Trade #              
-------------------  ------  --------  ------------------  -----------------  ---------------------
2014-02-10 13:14:00       4  -34.031%  4 - 6 - 6 - 6       20 - 15 - 25 - 40  42 - 43 - 44 - 45    
2013-07-17 12:28:00       4  -30.415%  5 - 6 - 6 - 6       20 - 15 - 40 - 3   35 - 36 - 37 - 38    
2013-04-26 01:02:00       4  -25.794%  5 - 5 - 5 - 5 6     20 - 15 - 40 - 3   30 - 31 - 32 - 33    
2016-01-27 19:32:00       4  -23.764%  5 - 5 - 5 - 5       20 - 15 - 40 - 3   65 - 66 - 67 - 68    
2017-12-29 14:10:00       4  -23.544%  4 - 4 - 4 - 4       20 - 15 - 25 - 40  91 - 92 - 93 - 94    
2020-04-13 15:16:00       2  -23.440%  5 - 5 6             20 - 15            128 - 129            
2015-08-20 02:54:00       4  -22.452%  4 - dca1 - 5 - 5 6  20 - 15 - 25 - 40  57 - 58 - 59 - 60    
2016-06-08 13:24:00       4  -19.788%  5 - 4 - 5 - 5       20 - 15 - 25 - 40  74 - 75 - 76 - 77    
2016-11-02 14:06:00       4  -19.437%  4 - 5 - 5 - 5       20 - 15 - 25 - 40  79 - 80 - 81 - 82    
2020-12-17 07:10:00       4  -17.293%  2 - 5 - 5 - 6       20 - 15 - 40 - 3   140 - 141 - 142 - 143
2012-06-05 12:14:00       4  -15.336%  5 - 5 - 6 - 6       20 - 15 - 40 - 3   17 - 18 - 19 - 20    
2014-06-19 13:10:00       4  -14.557%  4 - 5 - 5 - 4 5     20 - 15 - 25 - 40  47 - 48 - 49 - 50    
2021-07-14 12:00:00       4  -13.931%  4 - 5 - 5 - 5 6     20 - 15 - 25 - 40  147 - 148 - 149 - 150
2020-10-09 13:52:00       4  -13.511%  6 - 4 - 5 - 5       20 - 15 - 25 - 40  136 - 137 - 138 - 139
2023-10-12 06:38:00       4  -11.747%  5 - 5 - 5 - 5       20 - 15 - 40 - 3   170 - 171 - 172 - 173
2016-03-03 13:00:00       4  -10.740%  5 6 - 6 - 6 - 6     20 - 15 - 40 - 3   70 - 71 - 72 - 73    
